Región,Precio,Habitaciones,Baños,Superfície,Dirección,Tipo de inmueble,Orientación,Estado,Antigüedad,Planta,Ascensor,Amueblado,Consumo energía,Emisiones,Calefacción,Agua caliente,Parking
Barcelona,195.000 €,3 habs.,1 baño,77 m²,Canet de Mar,Piso,,,20 a 30 años,,Sí,No,"G
999 kW h m² / año","G
999 kg CO₂ m² / año",,,Privado
Barcelona,234.500 €,4 habs.,1 baño,85 m²,Carrer de Mas - Collblanc,Piso,,Bien,30 a 50 años,5ª planta,Sí,,"G
999 kW h m² / año","G
999 kg CO₂ m² / año",,,
Barcelona,84.000 €,1 hab.,1 baño,49 m²,Av Barcelona - Plaza Donoso Cortés - Avenida Magdalena,Piso,,Muy bien,10 a 20 años,3ª planta,Sí,Sí,"G
999 kW h m² / año","G
999 kg CO₂ m² / año",,Electricidad,Privado
Barcelona,124.000 €,3 habs.,1 baño,84 m²,Badia del Valles - Badia del Vallés,Piso,Oeste,Muy bien,,4ª planta,Sí,,"E
135 kW h m² / año","E
35 kg CO₂ m² / año",,Gas Natural,
Barcelona,230.000 €,3 habs.,1 baño,75 m²,La Bordeta,Piso,,Bien,50 a 70 años,,Sí,,"G
999 kW h m² / año","G
999 kg CO₂ m² / año",,,
Barcelona,139.000 €,2 habs.,1 baño,60 m²,Collblanc - La Torrassa - Collblanc,Piso,Noreste,Bien,50 a 70 años,1ª planta,,Sí,"E
197 kW h m² / año","E
41 kg CO₂ m² / año",,,
Barcelona,121.000 €,3 habs.,1 baño,65 m²,Carrer Sicília - Fondo,Piso,Sur,Casi nuevo,50 a 70 años,1ª planta,,,"E
215 kW h m² / año","E
43 kg CO₂ m² / año",Gas Natural,Gas Natural,
Barcelona,439.900 €,4 habs.,2 baños,123 m²,Calle Sicilia,Piso,Este,Bien,30 a 50 años,3ª planta,Sí,Sí,"E
112 kW h m² / año","E
23 kg CO₂ m² / año",,Gas Natural,
Barcelona,848.000 €,2 habs.,2 baños,147 m²,Carrer de la Diputació - L'Antiga Esquerra de l'Eixample,Piso,,,+ 100 años,Entresuelo,Sí,,"G
999 kW h m² / año","G
99 kg CO₂ m² / año",,,
Barcelona,475.000 €,3 habs.,2 baños,99 m²,Barcelona Capital,Piso,,Bien,70 a 100 años,2ª planta,Sí,No,"E
105 kW h m² / año","D
17 kg CO₂ m² / año",Gas Natural,Gas Natural,
Barcelona,140.000 €,3 habs.,1 baño,73 m²,Sabadell - Covadonga,Piso,Sureste,Muy bien,,10ª planta,Sí,,"E
183 kW h m² / año","E
38 kg CO₂ m² / año",,Gas Natural,
Barcelona,395.000 €,1 hab.,1 baño,55 m²,Carrer de L'hostal de Sant Antoni - Sant Pere - Sta. Caterina i la Ribera,Apartamento,,,+ 100 años,1ª planta,Sí,,"G
999 kW h m² / año","G
99 kg CO₂ m² / año",,,
Barcelona,128.000 €,3 habs.,1 baño,77 m²,Salut - Lloreda - Lloreda,Piso,Este,Muy bien,30 a 50 años,2ª planta,,,"G
999 kW h m² / año","G
99 kg CO₂ m² / año",,Gas Natural,
Barcelona,229.000 €,3 habs.,1 baño,104 m²,Carretera de Santa Coloma - Llefià,Piso,Noreste,Muy bien,50 a 70 años,,Sí,,"E
206 kW h m² / año","E
36 kg CO₂ m² / año",,,
Barcelona,390.000 €,1 hab.,1 baño,59 m²,Carrer del Capità Arenas - Pedralbes,Ático,,,50 a 70 años,10ª planta,,No,"E
172 kW h m² / año","E
33 kg CO₂ m² / año",,,
Barcelona,375.000 €,1 hab.,1 baño,55 m²,Carrer de L'hostal de Sant Antoni - Sant Pere - Sta. Caterina i la Ribera,Piso,,Muy bien,+ 100 años,3ª planta,Sí,,"D
90 kW h m² / año","C
15 kg CO₂ m² / año",,,
Barcelona,170.000 €,3 habs.,1 baño,72 m²,Passeig de la Salzereda - Riu Nord,Piso,Oeste,Muy bien,50 a 70 años,3ª planta,Sí,,"G
99 kW h m² / año","G
99 kg CO₂ m² / año",,Gas Natural,
Barcelona,550.000 €,4 habs.,2 baños,408 m²,Calle Martorell de - Collblanc,Casa o chalet,,Muy bien,30 a 50 años,,,,"E
200 kW h m² / año","E
200 kg CO₂ m² / año",,,
Barcelona,363.000 €,4 habs.,2 baños,190 m²,Les Preses,Casa o chalet,Sur,Bien,10 a 20 años,,,,"G
999 kW h m² / año","G
999 kg CO₂ m² / año",,,
Barcelona,275.000 €,4 habs.,2 baños,176 m²,El Malloll,Casa o chalet,Sur,Bien,20 a 30 años,,,,"G
999 kW h m² / año","G
999 kg CO₂ m² / año",Gas Natural,,Privado
Barcelona,189.000 €,4 habs.,1 baño,70 m²,Carrer D'alloza - Porta,Piso,,Bien,,3ª planta,Sí,,"G
999 kW h m² / año","G
999 kg CO₂ m² / año",Gas Natural,Gas Natural,
Barcelona,850.000 €,7 habs.,4 baños,1200 m²,Les Preses,Casa o chalet,Sur,Muy bien,10 a 20 años,,,,"G
999 kW h m² / año","G
999 kg CO₂ m² / año",,,Privado
Barcelona,215.000 €,3 habs.,2 baños,109 m²,Calafell - Playa de Calafell,Piso,,Casi nuevo,,4ª planta,Sí,,"G
999 kW h m² / año","G
999 kg CO₂ m² / año",,,
Barcelona,350.000 €,3 habs.,2 baños,77 m²,GRACIA Barcelona,Piso,,A reformar,30 a 50 años,4ª planta,Sí,No,"G
318 kW h m² / año","G
67 kg CO₂ m² / año",Gas Natural,Gas Natural,Privado
Barcelona,797.000 €,5 habs.,2 baños,192 m²,Madrid - Barri de les Corts,Piso,,,,,Sí,,"D
76 kW h m² / año","D
16 kg CO₂ m² / año",,,
Barcelona,139.000 €,2 habs.,1 baño,80 m²,Brutau - Sol i Padris - Sant Oleguer,Piso,,,30 a 50 años,6ª planta,Sí,,"D
68 kW h m² / año","D
16 kg CO₂ m² / año",,,
Barcelona,210.000 €,2 habs.,1 baño,70 m²,Mercat - Escoles Ribes,Piso,,,,,Sí,,"D
88 kW h m² / año","D
18 kg CO₂ m² / año",,,Privado
Barcelona,110.000 €,3 habs.,1 baño,78 m²,Pere D'om - Creu de Barberà,Piso,,,,,,,"F
999 kW h m² / año","F
999 kg CO₂ m² / año",,,
Barcelona,54.000 €,2 habs.,1 baño,59 m²,Osona - Ca n'Oriac,Piso,,,50 a 70 años,2ª planta,,,"G
999 kW h m² / año","G
999 kg CO₂ m² / año",,,
Barcelona,550.000 €,2 habs.,1 baño,87 m²,Sarria,Piso,,Muy bien,,1ª planta,Sí,No,"G
240 kW h m² / año","E
999 kg CO₂ m² / año",,,
Barcelona,1.330.000 €,4 habs.,3 baños,196 m²,Castelldefels - La Pineda,Casa adosada,,,,,,,"C
895 kW h m² / año","G
195 kg CO₂ m² / año",,,Privado
Barcelona,1.395.000 €,2 habs.,2 baños,150 m²,Castelldefels,Casa o chalet,,,,,,No,"G
999 kW h m² / año","G
999 kg CO₂ m² / año",,,
Barcelona,,,,,,,,,,,,,,,,,
Barcelona,315.000 €,3 habs.,2 baños,118 m²,Doctor Buenaventura Carre - Fígares,Piso,,,,1ª planta,Sí,,"G
999 kW h m² / año","G
999 kg CO₂ m² / año",,,Privado
Barcelona,137.000 €,3 habs.,1 baño,95 m²,Can Boada-Torrent d´en Pere Parres,Piso,,,30 a 50 años,1ª planta,Sí,,"E
172 kW h m² / año","E
36 kg CO₂ m² / año",,,
Barcelona,626.000 €,5 habs.,2 baños,144 m²,Barcelona - Vila de Gràcia,Piso,,,,2ª planta,Sí,,"E
155 kW h m² / año","E
39 kg CO₂ m² / año",,,
Barcelona,890.000 €,4 habs.,3 baños,299 m²,Escriptor Josep Roig I Raventos - Can Girona - Terramar - Vinyet,Casa adosada,,,,,,,"G
999 kW h m² / año","G
999 kg CO₂ m² / año",,,Privado
Barcelona,165.000 €,4 habs.,1 baño,123 m²,Murcia - San Antolin,Piso,,,,2ª planta,Sí,,"G
999 kW h m² / año","G
999 kg CO₂ m² / año",,,
